,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
62,BBC,Mon Mar 19 09:58:24 +0000 2018,"RT @BBCR1: Desperately searching for any signs of spring like... 🌸

#MondayMotivation https://t.co/9jo3h4C7bu",-0.3818,0.0,0.809,0.191,63
63,BBC,Mon Mar 19 09:58:15 +0000 2018,"RT @BBCRadioWales: ❄️ Snowy Cardiff! ⛄️ 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",0.4199,0.157,0.843,0.0,64
64,BBC,Mon Mar 19 09:58:10 +0000 2018,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",0.0,0.0,1.0,0.0,65
65,BBC,Mon Mar 19 09:57:58 +0000 2018,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,0.128,0.133,0.789,0.079,66
66,BBC,Mon Mar 19 09:32:02 +0000 2018,"'Who wants a normal life?' We should all be a little more like @chessmartinez. 👏💖 #LiveAtTheApollo

https://t.co/VddL8zWJfS",0.3642,0.152,0.848,0.0,67
67,BBC,Mon Mar 19 09:27:50 +0000 2018,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…",0.0,0.0,1.0,0.0,68
68,BBC,Mon Mar 19 08:45:02 +0000 2018,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw,0.5994,0.262,0.738,0.0,69
69,BBC,Mon Mar 19 08:02:00 +0000 2018,"🤔 Should we still be worried about the hole in the ozone layer?

🌤 @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t",-0.296,0.0,0.891,0.109,70
70,BBC,Sun Mar 18 20:30:11 +0000 2018,"🏃💪 @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",0.0,0.0,1.0,0.0,71
71,BBC,Sun Mar 18 20:03:04 +0000 2018,👎💌 Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,0.0258,0.09,0.824,0.086,72
72,BBC,Sun Mar 18 19:33:04 +0000 2018,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",0.5994,0.197,0.803,0.0,73
73,BBC,Sun Mar 18 18:44:02 +0000 2018,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t",-0.5994,0.0,0.837,0.163,74
74,BBC,Sun Mar 18 18:34:14 +0000 2018,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…",0.204,0.151,0.772,0.077,75
75,BBC,Sun Mar 18 17:18:12 +0000 2018,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b",0.7331,0.34,0.66,0.0,76
76,BBC,Sun Mar 18 17:04:03 +0000 2018,"🍎🗑 How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr",0.0,0.0,1.0,0.0,77
77,BBC,Sun Mar 18 16:33:17 +0000 2018,"❤️️📸Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

👉… https://t.co/LodRrr27fd",0.0,0.0,1.0,0.0,78
78,BBC,Sun Mar 18 15:41:04 +0000 2018,"🤰 A doctor explains why you can get pregnant and give birth without having a baby bump. 
👉 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL",0.0,0.0,1.0,0.0,79
79,BBC,Sun Mar 18 14:33:07 +0000 2018,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…,0.0772,0.053,0.947,0.0,80
80,BBC,Sun Mar 18 14:28:23 +0000 2018,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…,0.0,0.0,1.0,0.0,81
81,BBC,Sun Mar 18 14:18:01 +0000 2018,📱🚗 Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW,0.0,0.0,1.0,0.0,82
82,BBC,Sun Mar 18 14:08:37 +0000 2018,RT @BBC6Music: ✏️ Which song has the greatest opening line?,0.6369,0.318,0.682,0.0,83
83,BBC,Sun Mar 18 13:45:03 +0000 2018,🎤Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o… https://t.co/4ukT9drcdG,0.3182,0.095,0.905,0.0,84
84,BBC,Sun Mar 18 13:00:08 +0000 2018,"🍔😲 Would you eat a burger pie?  
#BackInTimeForTea https://t.co/zGWzJwdSlM",0.0,0.0,1.0,0.0,85
85,BBC,Sun Mar 18 12:29:50 +0000 2018,RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o,0.0,0.0,1.0,0.0,86
86,BBC,Sun Mar 18 11:43:04 +0000 2018,"Ever wondered why David Bowie wore an eye patch?

Strange things artists have worn on stage and the reasons why. 
👉… https://t.co/8zSBXQkLvy",-0.4588,0.0,0.833,0.167,87
87,BBC,Sun Mar 18 10:30:04 +0000 2018,"🍞🥖 Want to learn how to bake bread?

These easy to follow recipes and step-by-step videos will have you baking ever… https://t.co/iXEmj5WJdD",0.4939,0.174,0.826,0.0,88
